sex1st,sex2nd,weight1st,weight2nd
"girl","girl",3150,3278
"boy","girl",2950,3800
"boy","girl",3490,3400
"boy","girl",3500,3050
"girl","boy",3250,3100
"boy","boy",2680,4080
"girl","girl",3000,3450
"girl","boy",3110,3870
"girl","girl",3290,3450
"girl","boy",3900,4300
"girl","boy",3440,3310
"girl","girl",4000,3200
"boy","girl",3800,4200
"boy","girl",3500,3530
"girl","girl",2752,2950
"boy","boy",3700,3550
"girl","girl",3200,3480
"boy","girl",3530,4200
"girl","girl",3920,3910
"girl","boy",3170,3200
"boy","girl",3450,4500
"boy","boy",3530,3610
"boy","girl",3230,3350
"girl","boy",4060,3720
"girl","girl",3725,3490
"girl","boy",3500,3560
"boy","boy",4000,4050
"girl","girl",4440,3810
"girl","girl",4400,3360
"boy","boy",2945,3100
"boy","boy",3540,3690
"girl","girl",3500,3680
"boy","girl",3450,3330
"boy","boy",4600,5220
"girl","boy",3980,4850
"girl","girl",3000,3450
"boy","girl",3550,3528
"boy","boy",3000,3175
"girl","girl",3990,4100
"boy","girl",1786,4000
"girl","girl",3770,3450
"girl","boy",3600,3700
"girl","girl",3650,3235
"girl","girl",3425,3170
"girl","boy",3520,4000
"boy","boy",3280,3805
"girl","girl",4000,3500
"girl","girl",2990,3700
"girl","girl",3530,3980
"girl","girl",3600,3400
"boy","boy",3290,3720
"boy","girl",3340,3770
"girl","boy",2950,3280
"girl","girl",2625,3300
"girl","boy",2750,3360
"boy","girl",4000,3950
"boy","girl",3480,3480
"girl","girl",3200,3530
"girl","girl",3350,3900
"boy","boy",1850,2800
"boy","boy",2850,2880
"boy","girl",3950,3738
"girl","boy",3250,4338
"girl","boy",5150,4150
"girl","boy",2970,3650
"boy","boy",3500,3040
"girl","girl",3750,3264
"girl","girl",4100,3400
"boy","boy",3650,3790
"boy","girl",3200,3300
"girl","girl",2100,3750
"boy","girl",3800,2970
"girl","boy",2810,2790
"boy","girl",3290,3930
"girl","girl",3400,2920
"boy","boy",4100,4320
"girl","boy",3250,3480
"boy","boy",3990,4130
"boy","girl",4280,4350
"girl","boy",3360,4070
"girl","boy",4310,3750
"boy","boy",3340,4300
"boy","boy",3190,3700
"boy","girl",3100,3300
"girl","boy",2820,3160
"girl","girl",4775,4180
"girl","boy",3400,2540
"girl","girl",3480,3400
"boy","boy",3400,4080
"boy","boy",3250,3620
"girl","boy",3245,3380
"girl","boy",3365,3550
"girl","girl",2350,3715
"girl","boy",3210,3610
"boy","boy",4405,3960
"boy","boy",3640,3300
"girl","girl",2400,3300
"girl","boy",3270,2625
"girl","boy",3170,3880
"boy","girl",4050,3500
"girl","girl",3430,3800
"girl","boy",3270,3150
"girl","girl",3440,3330
"boy","boy",4700,4325
"boy","girl",3950,3950
"girl","boy",3550,3400
"boy","boy",3600,3400
"girl","boy",3440,3880
"girl","girl",3000,3600
"boy","boy",4030,3690
"girl","boy",3650,3750
"boy","boy",3400,3500
"girl","girl",3370,3600
"girl","girl",4180,3580
"girl","boy",3190,3720
"boy","boy",4410,3995
"boy","boy",2060,3950
"girl","boy",3060,3200
"boy","boy",3320,3510
"boy","boy",3750,3700
"boy","girl",3915,3000
"boy","girl",2950,3620
"boy","girl",4050,3650
"boy","girl",4100,3750
"boy","girl",2970,2850
"boy","girl",2690,3220
"boy","girl",3900,4250
"boy","boy",3240,3920
"boy","girl",4400,3586
"girl","girl",4330,3800
"boy","boy",4700,4430
"boy","boy",3550,4000
"boy","boy",3740,4000
"girl","boy",3800,3640
"girl","girl",4820,4450
"boy","boy",3800,3700
"girl","boy",3480,3540
"boy","boy",4770,4550
"boy","girl",3750,3100
"boy","boy",3500,3682
"boy","girl",3950,3470
"boy","girl",3480,3960
"girl","boy",3000,3310
"boy","girl",3440,2890
"boy","girl",3000,3800
"girl","boy",3520,3382
"girl","boy",3270,3960
"girl","boy",3400,3400
"boy","boy",4050,4426
"boy","girl",4700,4210
"girl","girl",3800,3950
"girl","boy",3915,3210
"boy","boy",4400,5200
"boy","boy",3870,3780
"boy","boy",4300,4890
"girl","boy",4000,3850
"girl","boy",2975,3325
"girl","girl",2855,3310
"girl","girl",3280,3300
"girl","boy",3700,3200
"girl","boy",3600,4300
"boy","boy",3300,3500
"boy","boy",3800,3475
"girl","boy",3300,3500
"boy","boy",3250,3850
"boy","boy",3825,4050
"girl","boy",2920,3310
"girl","girl",3400,2900
"girl","boy",3800,4100
"girl","boy",2440,2730
"girl","girl",3820,3130
"girl","girl",3800,4050
"girl","girl",3380,3600
"girl","boy",4020,4120
"boy","girl",3900,3600
"boy","boy",3850,4150
"boy","boy",3670,3000
"girl","girl",3700,3060
"girl","boy",2750,3350
"girl","boy",3350,3520
"boy","boy",3540,3730
"boy","girl",2900,3050
"boy","boy",4050,4060
"girl","boy",3050,3990
"boy","boy",3150,3050
"girl","girl",3270,3754
"girl","girl",2840,3100
"boy","girl",3700,4090
"girl","boy",2840,4530
"boy","boy",3200,3700
"boy","boy",3300,3010
"girl","boy",3920,3710
"boy","girl",3000,3450
"girl","boy",2850,3800
"girl","boy",2830,3300
"boy","boy",3900,4090
"girl","boy",3380,3940
"boy","girl",3460,3610
"girl","boy",3430,3320
"boy","girl",2820,2830
"girl","girl",3440,4220
"boy","girl",2550,4150
"boy","girl",4150,3740
"boy","boy",3100,3600
"girl","boy",3790,4150
"girl","boy",3900,4525
"girl","boy",3520,3500
"boy","boy",3200,4130
"boy","boy",2920,3630
"girl","boy",3538,3500
"girl","boy",3515,4300
"girl","girl",3800,3600
"girl","girl",3625,3000
"girl","girl",3600,3135
"girl","girl",3150,3150
"girl","girl",3680,3615
"girl","boy",3870,4200
"boy","boy",3330,3460
"boy","boy",4500,4460
"girl","boy",4082,4100
"boy","girl",4100,3500
"boy","girl",4200,4718
"boy","boy",3960,5250
"boy","boy",3100,2850
"boy","girl",4550,3030
"boy","girl",2800,3800
"girl","girl",3600,4164
"boy","boy",2610,4320
"boy","girl",3896,4000
"boy","boy",3200,3392
"girl","girl",3250,3360
"girl","girl",3400,4100
"boy","girl",3530,3550
"girl","girl",4500,3370
"boy","girl",4720,4130
"girl","girl",3280,3630
"boy","boy",3650,3640
"boy","girl",3600,3600
"girl","girl",3700,3165
"boy","boy",2300,3580
"boy","girl",3210,3280
"boy","girl",4050,4110
"boy","girl",3444,2905
"boy","girl",3650,4190
"girl","boy",3850,4320
"boy","girl",4210,3140
"boy","girl",2840,2850
"boy","girl",3390,3520
"girl","boy",3180,2880
"girl","girl",3180,3200
"boy","boy",3750,4340
"girl","girl",3450,4150
"boy","girl",3890,3710
"girl","boy",3750,3850
"boy","boy",4000,4220
"boy","girl",3250,3500
"girl","boy",4320,4150
"boy","boy",3400,4100
"girl","boy",3450,3982
"boy","girl",4200,4340
"girl","boy",3910,4090
"girl","boy",3080,3740
"girl","girl",3330,3150
"boy","girl",3350,3680
"girl","girl",2900,3800
"boy","boy",3500,4130
"boy","girl",3580,3340
"girl","boy",3810,4160
"boy","boy",2950,2750
"girl","boy",3531,4054
"boy","boy",3535,3400
"boy","girl",4150,4500
"girl","boy",3750,4010
"girl","girl",4050,3600
"boy","girl",3500,3240
"boy","girl",3500,2890
"girl","girl",3200,3350
"boy","boy",3640,3465
"boy","girl",3910,4600
"boy","girl",3870,3700
"girl","boy",3000,3225
"girl","girl",3910,4010
"boy","girl",2850,3390
"boy","girl",4070,4315
"girl","boy",3300,3880
"girl","boy",3500,3600
"boy","girl",3000,2940
"girl","boy",3220,3655
"boy","boy",3890,3240
"boy","girl",4365,3700
"girl","boy",3130,3760
"girl","girl",3650,3750
"boy","girl",3800,3830
"boy","boy",2210,2700
"girl","girl",2600,2700
"girl","girl",3350,2850
"boy","boy",3250,3400
"girl","boy",3590,4220
"girl","girl",4410,4680
"boy","girl",3140,3280
"boy","boy",3950,3500
"girl","girl",3615,3225
"boy","boy",4240,3910
"girl","boy",4730,3336
"girl","boy",3240,3630
"boy","girl",4050,3775
"boy","boy",3650,4020
"boy","girl",1500,3450
"boy","boy",3930,4000
"girl","boy",3600,3980
"girl","girl",3670,4300
"boy","boy",3720,3320
"girl","girl",3000,3100
"boy","boy",3330,3890
"girl","girl",3400,3200
"girl","boy",3400,4676
"girl","boy",3450,3760
"boy","boy",3450,4000
"girl","boy",2870,3050
"girl","girl",3040,3300
"girl","girl",2800,3880
"boy","girl",3950,2700
"girl","boy",3980,4000
"boy","boy",3200,2800
"boy","girl",3270,3350
"boy","girl",3250,3630
"boy","girl",3900,3650
"boy","girl",3090,3100
"girl","boy",3600,3300
"girl","boy",3470,5164
"girl","girl",3090,4000
"girl","boy",3300,4000
"boy","girl",1185,3475
"girl","boy",3370,3960
"girl","boy",3290,3650
"girl","boy",3800,4800
"boy","boy",3900,4150
"boy","boy",3500,3410
"girl","girl",3200,3300
"girl","girl",2220,3150
"boy","boy",3885,4120
"boy","girl",4200,4250
"boy","girl",3850,4270
"boy","girl",3130,3230
"boy","boy",4250,4100
"boy","girl",3250,3760
"boy","boy",3050,3650
"girl","girl",2800,3350
"boy","girl",3755,3550
"girl","girl",3450,2944
"girl","girl",3250,3130
"boy","girl",3600,3830
"girl","boy",3900,4000
"girl","girl",2980,3680
"girl","girl",3700,3800
"boy","boy",3650,3200
"boy","boy",3640,2860
"girl","girl",3900,3650
"boy","girl",3105,3155
"boy","girl",2530,2670
"girl","boy",3000,3300
"boy","girl",3500,3800
"girl","boy",3810,3080
"boy","girl",3710,3520
"girl","girl",2400,2500
"girl","boy",2860,3890
"boy","girl",3450,3640
"girl","girl",3100,4000
"boy","boy",3680,3990
"boy","girl",3150,3250
"boy","girl",4100,3540
"girl","boy",3470,3800
"boy","girl",3400,4300
"girl","girl",2950,3770
"girl","girl",3000,3680
"girl","girl",3650,4150
"boy","girl",3890,3520
"boy","girl",3570,3550
"boy","boy",4150,3902
"girl","girl",3215,3940
"boy","girl",3600,3236
"girl","boy",1770,3630
"girl","boy",3550,4100
"boy","boy",3250,3790
"girl","boy",4000,3400
"boy","boy",2800,3300
"boy","boy",3566,3940
"boy","girl",4460,4650
"girl","boy",4100,4700
"girl","boy",3200,4150
"girl","boy",3500,3700
"boy","boy",3200,3880
"girl","boy",3450,4536
"girl","boy",3125,3750
"boy","girl",3570,4080
"girl","girl",4300,4500
"boy","boy",3950,3654
"boy","boy",3750,3900
"girl","boy",4350,4650
"girl","girl",3230,2720
"girl","boy",3740,3500
"girl","boy",3370,3660
"girl","boy",2900,4400
"boy","boy",3750,3650
"boy","girl",4430,4040
"boy","boy",3750,3224
"girl","boy",1950,2650
"girl","girl",3500,3700
"boy","girl",2750,3500
"girl","girl",3900,4300
"boy","girl",3380,3570
"girl","girl",3500,4600
"girl","girl",3715,3600
"boy","girl",3520,3910
"girl","girl",3400,3430
"girl","boy",3740,3500
"girl","boy",2920,3640
"boy","girl",3670,3480
"boy","boy",2900,3150
"girl","girl",3450,3550
"boy","boy",3640,3500
"boy","girl",3900,3750
"girl","girl",3700,4100
"girl","boy",3550,2620
"boy","girl",3500,3600
"girl","girl",3600,3200
"girl","boy",2950,3550
"boy","girl",4270,3650
"boy","boy",4200,4600
"boy","girl",3950,3000
"boy","girl",4100,5100
"boy","boy",3550,3870
"girl","boy",3170,4200
"boy","girl",3500,3350
"boy","girl",3550,3375
"boy","boy",3800,4036
"girl","boy",3350,4000
"girl","boy",3100,3340
"girl","girl",3340,4700
"girl","girl",2670,3090
"boy","girl",3800,3500
"boy","boy",3550,4080
"boy","boy",4500,3880
"boy","girl",3000,3400
"boy","girl",3600,3000
"boy","boy",4100,3600
"boy","girl",4400,4420
"girl","boy",3970,4670
"girl","girl",2533,4300
"boy","boy",2880,3500
"boy","boy",4000,4200
"girl","girl",2900,2600
"boy","girl",3200,3200
"boy","boy",2830,2600
"boy","girl",3400,3760
"boy","girl",3890,3650
"boy","boy",3940,3720
"boy","boy",3720,3580
"boy","girl",2500,3800
"boy","boy",3150,3910
"girl","boy",4300,4100
"boy","girl",3700,4200
"girl","girl",3600,3400
"girl","girl",3175,3550
"girl","boy",3100,3360
"boy","girl",3800,4582
"girl","girl",3710,3950
"boy","girl",2400,3650
"girl","girl",3400,3400
"boy","girl",3670,4010
"boy","girl",4840,3600
"girl","boy",3580,4660
"girl","boy",3675,4200
"girl","girl",3270,3870
"boy","girl",3600,3150
"boy","boy",3900,4120
"girl","girl",3590,3570
"boy","boy",3350,3970
"boy","girl",3200,3600
"boy","girl",4160,2505
"girl","girl",2950,2900
"girl","girl",3070,3460
"girl","boy",3400,4250
"boy","boy",2700,3750
"girl","boy",3310,3000
"girl","girl",3200,3500
"boy","boy",3500,3670
"girl","boy",3320,3960
"boy","girl",4020,4230
"boy","girl",3600,2540
"girl","girl",4040,4590
"girl","boy",3150,3000
"boy","boy",3550,4400
"boy","girl",3250,4415
"boy","girl",3200,3228
"boy","boy",3570,3900
"boy","boy",3900,4340
"boy","girl",3300,3150
"boy","girl",3900,3650
"boy","boy",3900,4096
"boy","girl",3880,3320
"girl","boy",3900,3900
"boy","boy",4185,3620
"girl","girl",3850,3700
"girl","girl",3750,4050
"girl","girl",3282,3568
"girl","boy",3400,3760
"girl","boy",3610,3920
"boy","girl",3400,3370
"girl","boy",4435,5120
"girl","girl",3080,3490
"boy","boy",3200,3650
"boy","girl",2700,3350
"girl","boy",3800,3670
"boy","girl",3940,4740
"girl","girl",1595,3440
"boy","boy",3560,4420
"boy","girl",3750,4050
"girl","girl",4225,3060
"girl","boy",2940,3660
"boy","boy",2860,3060
"girl","boy",3500,3300
"boy","boy",4270,5090
"girl","boy",2680,3680
"boy","boy",3350,3800
"boy","boy",2900,2900
"boy","girl",3500,3800
"girl","girl",3250,3515
"girl","boy",3510,3660
"boy","girl",3280,3460
"girl","girl",3160,4200
"boy","girl",2890,3420
"girl","girl",4830,3940
"girl","boy",3500,2950
"boy","girl",3020,3800
"boy","boy",3400,3540
"boy","boy",2800,3730
"boy","girl",4000,3600
